product_id,product_title,sold,price,revenue
P0081,"Portable round Folding Chair Accordion Chair Height Adjustment Simple Tool Elephant Swing Playground Queue Chair",10000,12.28,122800.00
P0935,"Caterpillar Single Sofa Lazy Couch Tatami Living Room Bedroom Lovely Leisure Single Chair Reading Chair Balcony Rocking Chair",405,233.46,94551.30
P1767,"MUMUCC Multifunctional Foldable And Adjustable Aluminum Alloy Reading Stand With Spring Clip For Laptops, Tablets & Thick Books",3000,26.11,78330.00
P0139,"MUMUCC Multifunctional Foldable And Adjustable Aluminum Alloy Reading Stand With Spring Clip For Laptops, Tablets & Thick Books",3000,21.94,65820.00
P0140,"Monitor Stand for 13-32 inches Screens, Dual Monitor Mount Gas Spring, Dual Monitor Arm Full Motion Adjustable",900,66.68,60012.00
P1791,"Electric Stand Up Desk Workstation Whole-Piece Desktop Ergonomic Height Adjustable Standing Desk With Cup and headphone holder",354,152.70,54055.80
P0780,"MINGDIBAO Fabric Sofa Set Furniture Living Room Sofa Set with USB and Stools / Big U Shape Cloth Couch Sofas for Home Furniture",25,1274.15,31853.75
P0236,"Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture",600,46.79,28074.00
P0101,"Stylish Shoe Rack Metal Simple Shoe Shelf Footwear Organizer Stand Holder Space-saving Black Shoe Shelf for Living Room",2000,13.64,27280.00
P0141,"Office Furniture Computer Stand 42*26cm Adjustable Foldable Laptop Holder Notebook Desks Lap PC Folding Desk Table Vented Stand",1000,26.03,26030.00
P1178,"Luxury Living Room Sofa Furgle Chair Soft Suede Oversized Chair Lazy Floor Sofa for Living Room Corner Chair Caterpillar Sofa",84,236.87,19897.08
P1153,"Nordic Ins Net Red Bedside Table Modern Minimalist White Round Creative Small Cabinet Mini Simple Plastic Side Cabinet 협탁",185,104.85,19397.25
P1816,"Lazy Rocking Chair Washable Technology Cloth Recliner Chair 5 Angle Adjustment Detachable Relaxation And Comfort Lounge Chairs",210,79.24,16640.40
P0455,"V13 Bar stool hotel chair living room soft stool indoor furniture",28,560.00,15680.00
P0025,"Convertible Sectional Sofa Velvet L Shaped Couch Reversible 4 Seat Corner Sofas for Small Apartment,Velvet Black Sofa",24,647.03,15528.72
P0188,"Adjustable Laptop Desk Stand Portable Aluminum Ergonomic Lapdesk For TV Bed Sofa PC Notebook Table Desk Stand With Mouse Pad",600,25.49,15294.00
P1600,"New Foldable Multi-layer Wardrobe Household Dustproof Wardrobe Simple Assembly DIY Storage Wardrobe Bedroom Open Storage Cabinet",133,103.46,13760.18
P1778,"VEVOR Ergonomic Rocking Wooden Kneeling Chair Stool Correct Posture Computer Chair Original Home Office Furniture Thick Cushion",223,58.99,13154.77
P0211,"7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table",39,331.24,12918.36
P1969,"US Inventory Modern Living Room Lounge Chairs Arm Chair with Ottoman Stool Genuine Leather",22,563.48,12396.56
